variant_id,slice_id,accepted_rewrite_rate,revert_rate,no_op_rate,semantic_pass_proxy,useful_output_rate,latency,cost,evidence_status,notes
bounded_working_memory_candidate,gap_3,100.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,measured,Measured bounded FIFO mechanism slice performance.
majority_symbol_predictor,gap_3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured no-memory baseline slice performance.
trivial_last_symbol_memory,gap_3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured trivial-memory baseline slice performance.
bounded_working_memory_candidate,gap_4,100.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,measured,Measured bounded FIFO mechanism slice performance.
majority_symbol_predictor,gap_4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured no-memory baseline slice performance.
trivial_last_symbol_memory,gap_4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured trivial-memory baseline slice performance.
bounded_working_memory_candidate,gap_5,100.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,measured,Measured bounded FIFO mechanism slice performance.
majority_symbol_predictor,gap_5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured no-memory baseline slice performance.
trivial_last_symbol_memory,gap_5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured trivial-memory baseline slice performance.
bounded_working_memory_candidate,gap_6,100.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,measured,Measured bounded FIFO mechanism slice performance.
majority_symbol_predictor,gap_6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured no-memory baseline slice performance.
trivial_last_symbol_memory,gap_6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured trivial-memory baseline slice performance.
