variant_id,slice_id,accepted_rewrite_rate,revert_rate,no_op_rate,semantic_pass_proxy,useful_output_rate,latency,cost,evidence_status,notes
bounded_working_memory_candidate,r4_length_extension,100.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,measured,Measured FIFO mechanism performance on the bounded R4 slice.
majority_symbol_predictor,r4_length_extension,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured no-memory control performance on the bounded R4 slice.
trivial_last_symbol_memory,r4_length_extension,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured trivial-memory control performance on the bounded R4 slice.
bounded_working_memory_candidate,r4_gap_extension,100.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,measured,Measured FIFO mechanism performance on the bounded R4 slice.
majority_symbol_predictor,r4_gap_extension,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured no-memory control performance on the bounded R4 slice.
trivial_last_symbol_memory,r4_gap_extension,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured trivial-memory control performance on the bounded R4 slice.
bounded_working_memory_candidate,r4_alphabet_extension,100.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,measured,Measured FIFO mechanism performance on the bounded R4 slice.
majority_symbol_predictor,r4_alphabet_extension,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured no-memory control performance on the bounded R4 slice.
trivial_last_symbol_memory,r4_alphabet_extension,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured trivial-memory control performance on the bounded R4 slice.
bounded_working_memory_candidate,r4_combined_bounded,100.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,measured,Measured FIFO mechanism performance on the bounded R4 slice.
majority_symbol_predictor,r4_combined_bounded,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured no-memory control performance on the bounded R4 slice.
trivial_last_symbol_memory,r4_combined_bounded,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,measured,Measured trivial-memory control performance on the bounded R4 slice.
